branch_code,branch_name,branch_address,fbank_code,fstate_code2
14011,Kuala Lumpur Main ,"1st Floor, Menara Maybank, 
100, Jalan Tun Perak, 50050
Kuala Lumpur",101,KLMAIN
14057,Ampang Park ,"Lot 1.01, Ampang Park Shopping, 
Jalan Ampang, 50450
Kuala Lumpur",101,FT
14422,Menara Perkeso ,"Tingkat Bawah (Kanan), 
Menara Perkeso, 
No 281, Jalan Ampang, 50538
Kuala Lumpur",101,FT
14123,Bangsar Baru ,"66, 68 & 70, Jalan Maarof, 
Bangsar Baru, 59100
Kuala Lumpur",101,FT
14253,Dataran Maybank ,"Level 1, Tower A
No 1, Jln Maarof,
Dataran Maybank,
59000 Kuala Lumpur
Kuala Lumpur",101,FT
14338,Batu Cantonment,"No 803 - 817 Bangunan LIM,
Batu 4 1/2, 50120 Jalan Ipoh,
Kuala Lumpur",101,FT
14084,Bukit Bintang ,"No 42-2, Ground & 1st Floor, Jalan Sultan Ismail, 50250 Kuala Lumpur",101,FT
14329,Bukit Damansara ,"G-Floor, Block C, 
Kompleks Pejabat Damansara, 
Jalan Semantan, 
50490 Bukit Damansara,
Kuala Lumpur",101,FT
14226,Jalan Gombak,"Wisma KS, No 5, Jln Meranti, Taman Setapak, 53000 Setapak KL",101,FT
14075,Jalan Ipoh,"AG 1, 2, 9 & 10, Ground Floor, 
Plaza Pekeliling, 
2, Jalan Tun Razak, 50500
Kuala Lumpur",101,FT
14114,Jalan Klang Lama ,"No. 1 & 3, Jalan Desa,
Taman Desa, 58100
Kuala Lumpur",101,FT
14048,Jalan Pudu ,"418-24, Jalan Pudu,
55100, Kuala Lumpur",101,FT
14404,Taman Maluri,"188, Jalan Mahkota, 
Taman Maluri, 55100
Kuala Lumpur",101,FT
14150,Jalan Raja Laut ,"Ground Floor (Utara)
Menara DBKL 2
Jalan Raja Laut
50350 Kuala Lumpur",101,FT
14093,Jalan Raja Muda,"Tingkat 1 Lot 1.01 & 1.02, Bangunan Yayasan Selangor, Jln Raja Muda Aziz, 50300 Kuala Lumpur",101,FT
14039,Wisma Hangsam ,"Wisma Hangsam, 
1, Jalan Hang Lekir, 
50000 Kuala Lumpur
Kuala Lumpur",101,FT
14020,Jalan T.A. Rahman,"404-10, 
Jalan Tuanku Abdul Rahman, 55100
Kuala Lumpur",101,FT
14310,Jalan Tun H.S. Lee,"92, Jalan Tun H.S. Lee, 50000
Kuala Lumpur",101,FT
14244,Jinjang,"21, 23, 25 & 27, Jalan 2/32, 
Off 6 1/2 Mile, 
Jalan Kepong, 52000
Kuala Lumpur",101,FT
